show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added,month_name_added,age_of_show,duration_value,movie_duration_min,tv_seasons
s1,movie,dick_johnson_is_dead,kirsten_johnson,,united_states,2021-09-25,2020,pg-13,90_min,documentaries,"as_her_father_nears_the_end_of_his_life,_filmmaker_kirsten_johnson_stages_his_death_in_inventive_and_comical_ways_to_help_them_both_face_the_inevitable.",2021.0,9.0,september,1.0,90.0,90.0,
s2,tv_show,blood_&_water,,"ama_qamata,_khosi_ngema,_gail_mabalane,_thabang_molaba,_dillon_windvogel,_natasha_thahane,_arno_greeff,_xolile_tshabalala,_getmore_sithole,_cindy_mahlangu,_ryle_de_morny,_greteli_fincham,_sello_maake_ka-ncube,_odwa_gwanya,_mekaila_mathys,_sandi_schultz,_duane_williams,_shamilla_miller,_patrick_mofokeng",south_africa,2021-09-24,2021,tv-ma,2_seasons,"international_tv_shows,_tv_dramas,_tv_mysteries","after_crossing_paths_at_a_party,_a_cape_town_teen_sets_out_to_prove_whether_a_private-school_swimming_star_is_her_sister_who_was_abducted_at_birth.",2021.0,9.0,september,0.0,2.0,,2.0
s3,tv_show,ganglands,julien_leclercq,"sami_bouajila,_tracy_gotoas,_samuel_jouy,_nabiha_akkari,_sofia_lesaffre,_salim_kechiouche,_noureddine_farihi,_geert_van_rampelberg,_bakary_diombera",,2021-09-24,2021,tv-ma,1_season,"crime_tv_shows,_international_tv_shows,_tv_action_&_adventure","to_protect_his_family_from_a_powerful_drug_lord,_skilled_thief_mehdi_and_his_expert_team_of_robbers_are_pulled_into_a_violent_and_deadly_turf_war.",2021.0,9.0,september,0.0,1.0,,1.0
s4,tv_show,jailbirds_new_orleans,,,,2021-09-24,2021,tv-ma,1_season,"docuseries,_reality_tv","feuds,_flirtations_and_toilet_talk_go_down_among_the_incarcerated_women_at_the_orleans_justice_center_in_new_orleans_on_this_gritty_reality_series.",2021.0,9.0,september,0.0,1.0,,1.0
s5,tv_show,kota_factory,,"mayur_more,_jitendra_kumar,_ranjan_raj,_alam_khan,_ahsaas_channa,_revathi_pillai,_urvi_singh,_arun_kumar",india,2021-09-24,2021,tv-ma,2_seasons,"international_tv_shows,_romantic_tv_shows,_tv_comedies","in_a_city_of_coaching_centers_known_to_train_india’s_finest_collegiate_minds,_an_earnest_but_unexceptional_student_and_his_friends_navigate_campus_life.",2021.0,9.0,september,0.0,2.0,,2.0
s6,tv_show,midnight_mass,mike_flanagan,"kate_siegel,_zach_gilford,_hamish_linklater,_henry_thomas,_kristin_lehman,_samantha_sloyan,_igby_rigney,_rahul_kohli,_annarah_cymone,_annabeth_gish,_alex_essoe,_rahul_abburi,_matt_biedel,_michael_trucco,_crystal_balint,_louis_oliver",,2021-09-24,2021,tv-ma,1_season,"tv_dramas,_tv_horror,_tv_mysteries","the_arrival_of_a_charismatic_young_priest_brings_glorious_miracles,_ominous_mysteries_and_renewed_religious_fervor_to_a_dying_town_desperate_to_believe.",2021.0,9.0,september,0.0,1.0,,1.0
s7,movie,my_little_pony:_a_new_generation,"robert_cullen,_josé_luis_ucha","vanessa_hudgens,_kimiko_glenn,_james_marsden,_sofia_carson,_liza_koshy,_ken_jeong,_elizabeth_perkins,_jane_krakowski,_michael_mckean,_phil_lamarr",,2021-09-24,2021,pg,91_min,children_&_family_movies,"equestria's_divided._but_a_bright-eyed_hero_believes_earth_ponies,_pegasi_and_unicorns_should_be_pals_—_and,_hoof_to_heart,_she’s_determined_to_prove_it.",2021.0,9.0,september,0.0,91.0,91.0,
s8,movie,sankofa,haile_gerima,"kofi_ghanaba,_oyafunmike_ogunlano,_alexandra_duah,_nick_medley,_mutabaruka,_afemo_omilami,_reggie_carter,_mzuri","united_states,_ghana,_burkina_faso,_united_kingdom,_germany,_ethiopia",2021-09-24,1993,tv-ma,125_min,"dramas,_independent_movies,_international_movies","on_a_photo_shoot_in_ghana,_an_american_model_slips_back_in_time,_becomes_enslaved_on_a_plantation_and_bears_witness_to_the_agony_of_her_ancestral_past.",2021.0,9.0,september,28.0,125.0,125.0,
s9,tv_show,the_great_british_baking_show,andy_devonshire,"mel_giedroyc,_sue_perkins,_mary_berry,_paul_hollywood",united_kingdom,2021-09-24,2021,tv-14,9_seasons,"british_tv_shows,_reality_tv","a_talented_batch_of_amateur_bakers_face_off_in_a_10-week_competition,_whipping_up_their_best_dishes_in_the_hopes_of_being_named_the_u.k.'s_best.",2021.0,9.0,september,0.0,9.0,,9.0
s10,movie,the_starling,theodore_melfi,"melissa_mccarthy,_chris_o'dowd,_kevin_kline,_timothy_olyphant,_daveed_diggs,_skyler_gisondo,_laura_harrier,_rosalind_chao,_kimberly_quinn,_loretta_devine,_ravi_kapoor",united_states,2021-09-24,2021,pg-13,104_min,"comedies,_dramas",a_woman_adjusting_to_life_after_a_loss_contends_with_a_feisty_bird_that's_taken_over_her_garden_—_and_a_husband_who's_struggling_to_find_a_way_forward.,2021.0,9.0,september,0.0,104.0,104.0,
s11,tv_show,"vendetta:_truth,_lies_and_the_mafia",,,,2021-09-24,2021,tv-ma,1_season,"crime_tv_shows,_docuseries,_international_tv_shows","sicily_boasts_a_bold_""anti-mafia""_coalition._but_what_happens_when_those_trying_to_bring_down_organized_crime_are_accused_of_being_criminals_themselves?",2021.0,9.0,september,0.0,1.0,,1.0
s12,tv_show,bangkok_breaking,kongkiat_komesiri,"sukollawat_kanarot,_sushar_manaying,_pavarit_mongkolpisit,_sahajak_boonthanakit,_suthipongse_thatphithakkul,_bhasaworn_bawronkirati,_daweerit_chullasapya,_waratthaya_wongchayaporn,_kittiphoom_wongpentak,_abhicha_thanachanun,_nophand_boonyai,_kittipong_khamsat,_arisara_wongchalee,_jaytiya_naiwattanakul,_pantipa_arunwattanachai,_panupan_jantanawong,_kungtap_saelim,_phumphat_chartsuriyakiat,_issara_veranitinunt,_keerati_sivakuae,_panjai_sirisuwan,_supranee_charoenpol,_suda_chuenban,_visaka_banhansupavat,_pitchatorn_santinatornkul",,2021-09-23,2021,tv-ma,1_season,"crime_tv_shows,_international_tv_shows,_tv_action_&_adventure","struggling_to_earn_a_living_in_bangkok,_a_man_joins_an_emergency_rescue_service_and_realizes_he_must_unravel_a_citywide_conspiracy.",2021.0,9.0,september,0.0,1.0,,1.0
s13,movie,je_suis_karl,christian_schwochow,"luna_wedler,_jannis_niewöhner,_milan_peschel,_edin_hasanović,_anna_fialová,_marlon_boess,_victor_boccard,_fleur_geffrier,_aziz_dyab,_mélanie_fouché,_elizaveta_maximová","germany,_czech_republic",2021-09-23,2021,tv-ma,127_min,"dramas,_international_movies","after_most_of_her_family_is_murdered_in_a_terrorist_bombing,_a_young_woman_is_unknowingly_lured_into_joining_the_very_group_that_killed_them.",2021.0,9.0,september,0.0,127.0,127.0,
s14,movie,confessions_of_an_invisible_girl,bruno_garotti,"klara_castanho,_lucca_picon,_júlia_gomes,_marcus_bessa,_kiria_malheiros,_fernanda_concon,_gabriel_lima,_caio_cabral,_leonardo_cidade,_jade_cardozo",,2021-09-22,2021,tv-pg,91_min,"children_&_family_movies,_comedies","when_the_clever_but_socially-awkward_tetê_joins_a_new_school,_she'll_do_anything_to_fit_in._but_the_queen_bee_among_her_classmates_has_other_ideas.",2021.0,9.0,september,0.0,91.0,91.0,
s15,tv_show,crime_stories:_india_detectives,,,,2021-09-22,2021,tv-ma,1_season,"british_tv_shows,_crime_tv_shows,_docuseries",cameras_following_bengaluru_police_on_the_job_offer_a_rare_glimpse_into_the_complex_and_challenging_inner_workings_of_four_major_crime_investigations.,2021.0,9.0,september,0.0,1.0,,1.0
s16,tv_show,dear_white_people,,"logan_browning,_brandon_p._bell,_deron_horton,_antoinette_robertson,_john_patrick_amedori,_ashley_blaine_featherson,_marque_richardson,_giancarlo_esposito",united_states,2021-09-22,2021,tv-ma,4_seasons,"tv_comedies,_tv_dramas","students_of_color_navigate_the_daily_slights_and_slippery_politics_of_life_at_an_ivy_league_college_that's_not_nearly_as_""post-racial""_as_it_thinks.",2021.0,9.0,september,0.0,4.0,,4.0
